"","Latitude","Longitude","Class","B1","B2","B3","B4","B5","B6"
"1517",35.5861412572631,-82.5380311483892,"3",460,540,870,787,3326,2111
"1518",35.5636542202656,-82.5054406879597,"3",185,242,532,331,3512,1488
"1519",35.4984744028815,-82.5165214445057,"3",325,414,775,732,3202,1890
"1520",35.6353520193881,-82.5862650298249,"3",307,366,675,521,3105,1694
"1521",35.5522477522234,-82.5993012139968,"3",523,628,926,987,2655,2407
"1522",35.7125901029883,-82.5947385495366,"3",275,361,658,572,2933,1791
"1523",35.5864671563501,-82.6041897830612,"3",388,443,832,671,3278,1960
"1524",35.5551808440057,-82.5810505561562,"3",780,892,1160,1303,2317,3453
"1525",35.4896751275347,-82.5028334511253,"3",241,276,584,407,3224,1586
"1526",35.5568103394403,-82.6527495691012,"3",83,201,699,687,3043,1938
"1527",35.6434994965611,-82.5983235001839,"3",960,1245,1991,2044,3320,2710
"1528",35.6226419549982,-82.548786000331,"3",332,394,621,514,2501,1438
"1529",35.5981995234792,-82.4842568886805,"3",146,264,707,618,3108,1994
"1530",35.6705491207755,-82.583005983782,"3",-308,-64,529,552,1987,1390
"1531",35.4955413110993,-82.8704538447705,"3",332,488,950,868,3305,1992
"1532",35.5382340914858,-82.8407965257796,"3",110,266,490,344,585,471
"1533",35.4900010266216,-82.543245622058,"3",264,314,601,439,2942,1371
"1534",35.7125901029883,-82.5611703752942,"3",116,162,545,271,3733,1661
"1535",35.6920584605123,-82.5601926614813,"3",241,333,635,561,2377,1612
"1536",35.6115613860429,-82.5553040924169,"3",1491,1514,2014,1944,2863,2491
"1537",35.7138936993359,-82.5618221845028,"3",270,384,573,555,1841,1213
"1538",35.6004808170876,-82.5817023653648,"3",372,503,921,897,2832,1959
"1539",35.5323679079213,-82.8600248974331,"3",375,523,875,917,2046,1797
"1540",35.5968959271315,-82.6188554902545,"3",101,127,384,151,3003,1175
"1541",35.5900520463062,-82.4529700466681,"3",267,389,804,675,3619,2056
"1542",35.5467074677458,-82.5126105892542,"3",245,296,560,449,2703,1782
"1543",35.5568103394403,-82.5064184017726,"3",416,503,741,744,1959,1618
"1544",35.6190570650421,-82.583005983782,"3",439,497,715,621,2898,1572
"1545",35.5636542202656,-82.5337943885334,"3",388,463,856,656,3603,2160
"1546",35.5920074408277,-82.588546362055,"3",287,325,532,414,2682,1360
"1547",35.566261412961,-82.5817023653648,"3",496,609,990,948,2712,2053
"1548",35.5437743759635,-82.6038638784569,"3",621,842,1159,1311,1928,1916
"1549",35.5887484499585,-82.5269503918432,"3",420,553,882,914,2334,1791
"1550",35.7523497915926,-82.5452010496837,"3",222,320,641,454,3310,1817
"1551",35.6545800655164,-82.579746937739,"3",149,322,829,740,2757,1787
"1552",35.6395887075181,-82.568666181193,"3",209,273,642,469,3608,1811
"1553",35.508903173663,-82.5188027767358,"3",284,389,643,649,1911,1331
"1554",35.5718016974386,-82.5849614114078,"3",199,265,527,366,2764,1389
"1555",35.5450779723112,-82.817983203479,"3",296,372,715,587,3313,1991
"1556",35.6076505969999,-82.548786000331,"3",126,216,574,433,2840,1614
"1557",35.5643060184395,-82.5204322997573,"3",308,376,667,553,3010,1784
"1558",35.5698463029171,-82.5745324640703,"3",414,514,822,784,3400,2140
"1559",35.6200347623029,-82.7671420852089,"3",203,262,649,437,3886,1968
"1560",35.5437743759635,-82.8492700454913,"3",431,517,891,865,3074,2311
"1561",35.5379081923989,-82.617225967233,"3",396,516,952,954,3135,2560
"1562",35.5542031467449,-82.6996798321197,"3",273,473,858,929,1923,1837
"1563",35.6076505969999,-82.5520450463739,"3",340,425,753,785,2914,1916
"1564",35.5532254494842,-82.7136937301044,"3",210,282,616,493,4015,2076
"1565",35.7093311121191,-82.5735547502574,"3",262,352,643,555,2919,1808
"1566",35.5470333668327,-82.602886164644,"3",196,244,553,339,2745,1292
"1567",35.4857643384916,-82.520106395153,"3",278,346,573,493,2303,1152
"1568",35.5359527978774,-82.8580694698073,"3",345,463,826,773,3199,2179
"1569",35.5102067700107,-82.5315130563033,"3",223,273,559,427,2521,1341
"1570",35.6167757714337,-82.428527201346,"3",414,520,785,771,2427,1675
"1571",35.4890233293608,-82.5715993226317,"3",328,448,717,738,2553,1663
"1572",35.606998798826,-82.5305353424904,"3",651,773,1071,997,3121,1971
"1573",35.6353520193881,-82.6263512961533,"3",304,398,760,602,3748,1989
"1574",35.5480110640934,-82.5119587800456,"3",320,379,676,552,3410,2065
"1575",35.6122131842168,-82.4330898658061,"3",234,347,651,570,2937,1757
"1576",35.5822304682201,-82.656986328957,"3",540,622,959,838,3297,2232
"1577",35.7399656262896,-82.5452010496837,"3",185,320,711,686,2155,1639
"1578",35.5610470275703,-82.5194545859444,"3",589,811,1230,1357,3396,2228
"1579",35.5894002481323,-82.5308612470947,"3",372,421,679,627,2479,1610
"1580",35.5379081923989,-82.7006575459326,"3",172,358,792,703,2936,1897
"1581",35.5968959271315,-82.6110337797514,"3",184,222,505,279,3485,1391
"1582",35.4909787238824,-82.5729029410488,"3",328,384,702,554,3442,1961
"1583",35.5437743759635,-82.7560613286628,"3",266,517,1079,1129,2498,1904
"1584",35.5408412841812,-82.8319971014637,"3",462,580,896,906,2395,1822
"1585",35.5102067700107,-82.5171732537143,"3",529,608,982,908,3141,1868
"1586",35.7533274888533,-82.5461787634966,"3",367,431,761,713,2394,1787
"1587",35.6575131572987,-82.7704011312518,"3",320,456,870,788,3404,2222
"1588",35.545729770485,-82.4497110006252,"3",413,413,671,596,2155,1438
"1589",35.6017844134353,-82.5836577929906,"3",136,177,470,230,3546,1334
"1590",35.504666485533,-82.8528549961386,"3",253,388,773,707,3156,2013
"1591",35.5968959271315,-82.4950117406222,"3",147,183,470,275,3028,1366
"1592",35.6232937531721,-82.3529173331494,"3",300,387,668,508,2803,1707
"1593",35.5177024490098,-82.6045156876655,"3",200,326,806,709,3242,2194
"1594",35.570172202004,-82.5090256386069,"3",475,559,841,875,2367,1576
"1595",35.553877247658,-82.5227136319873,"3",517,677,992,1000,2428,2037
"1596",35.6405664047789,-82.5794210331348,"3",167,312,751,781,2381,2005
"1597",35.6470843865173,-82.579746937739,"3",481,551,802,763,2392,1572
"1598",35.6428476983873,-82.5667107535672,"3",389,482,830,753,3281,1917
"1599",35.484460742144,-82.5422679082451,"3",232,276,582,432,2978,1429
"1600",35.5066218800546,-82.4171205401956,"3",359,447,791,724,3238,2072
"1601",35.5408412841812,-82.8359079567152,"3",406,501,798,761,2647,1902
"1602",35.5545290458319,-82.6429724309723,"3",181,204,569,319,3894,1775
"1603",35.611235486956,-82.6374320526993,"3",216,285,523,520,2083,1333
"1604",35.6953174513815,-82.5497637141439,"3",306,405,704,562,3415,1793
"1605",35.4880456321001,-82.5188027767358,"3",278,338,613,508,2691,1486
"1606",35.5757124864817,-82.5843096021992,"3",765,880,1149,1121,3079,2129
